11|Papas Fritas|200|100|true|1.99|50|Sal|Pequeño
12|Galletas|150|75|true|2.49|100|Chocolate|Mediano
13|Palomitas de Maíz|100|50|true|1.29|75|Mantequilla|Grande
14|Chocolatinas|180|90|true|0.99|25|Caramelo|Pequeño
15|Frutos Secos|220|110|true|3.49|70|Mixtos|Mediano
16|Pretzels|130|65|true|1.79|80|Sal|Grande
17|Barritas de Granola|160|80|true|2.29|45|Avena|Pequeño
18|Chips de Tortilla|250|125|true|1.59|60|Queso|Mediano
19|Chips de Camote|140|70|true|2.79|55|Barbacoa|Mediano
20|Cacahuetes|190|95|true|1.09|40|Natural|Pequeño
